Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00361,0.00717,0.00022,0.00052,0.00052,0.00038,0.00068,0.00083,0,0.00002,0,0.00004,0.00006,0.0021,0.00232,0.00379,0.00137,0.00024,0.00006,0.6457,34.3701,0.00085,0.00066,0.01608,0.00002,135.61749,"49,636","9,096",Cicero De Natura Deorum Part 3,366,Prose
0.00083,0.00705,0.00055,0.00098,0.00001,0.00086,0.00086,0.00066,0.00001,0,0.00004,0.00006,0.00004,0.00298,0.00159,0.0033,0.00017,0.00064,0.00024,0.6785,30.46853,0.00141,0.00049,0.02037,0.00002,150.40693,"82,423","14,497",Cicero De Officiis Part 1,548,Prose
0.00132,0.00771,0.00024,0.00102,0.00008,0.00075,0.00075,0.00049,0,0,0.00002,0.00006,0.0001,0.0023,0.00142,0.00346,0.00087,0.00067,0.00012,0.66458,27.67254,0.001,0.00112,0.01831,0.00004,136.89415,"49,145","8,612",Cicero De Officiis Part 2,359,Prose
0.00121,0.00915,0.00035,0.0015,0.00024,0.00048,0.00079,0.0006,0,0.00003,0,0.00003,0.00005,0.00225,0.00235,0.00325,0.00177,0.00047,0.00002,0.63556,25.93555,0.00124,0.00117,0.01401,0.00002,111.03393,"62,179","11,183",Cicero De Officiis Part 3,560,Prose
0.00115,0.00794,0.00058,0.00115,0.00012,0.0015,0.00161,0.00069,0,0,0,0,0.00012,0.00322,0.00311,0.00391,0.00081,0.00104,0,0.58209,27.40323,0.00127,0.00127,0.01898,0,115.90667,"8,693","1,606",Cicero De Optimo Genere Oratorum,75,Prose
0.00403,0.00834,0.00096,0.00083,0.00057,0.00034,0.0012,0.0004,0,0.00003,0.00002,0.00007,0.0001,0.00182,0.00211,0.00427,0.00115,0.00095,0.00048,0.80858,32.71582,0.00108,0.00076,0.01894,0.00001,250.08049,"102,533","18,282",Cicero De Oratore Part 1,410,Prose
0.00417,0.00883,0.00057,0.00077,0.00048,0.00076,0.00117,0.00043,0.00001,0.00001,0.00001,0.00005,0.00008,0.0031,0.00218,0.00394,0.00104,0.00067,0.00027,0.71933,29.48,0.00115,0.00095,0.01827,0,199.89116,"146,920","27,063",Cicero De Oratore Part 2,735,Prose
0.00302,0.00832,0.00082,0.00089,0.00041,0.00091,0.00118,0.00056,0.00001,0,0,0.00007,0.00004,0.00305,0.00151,0.00363,0.00093,0.00078,0.00031,0.73096,33.01987,0.00077,0.00072,0.0199,0.00004,195.78407,"93,389","16,795",Cicero De Oratore Part 3,477,Prose
0.00081,0.00613,0.00047,0.00054,0.00022,0.00081,0.00088,0.00063,0,0.00004,0.00002,0.00002,0.00004,0.00277,0.00246,0.00448,0.00077,0.00047,0.00025,0.61201,36.316,0.00164,0.0007,0.0223,0,125.21396,"55,595","9,953",Cicero De Partitione Oratoria,444,Prose
0.00481,0.00839,0.00028,0.00083,0,0.00052,0.0011,0.00096,0,0.00003,0.00003,0.00003,0.0001,0.00158,0.00254,0.0032,0.00155,0.00206,0.0001,0.72535,35.46829,0.00045,0.00065,0.01324,0,160.65746,"29,079","5,122",Cicero De Provinciis Consularibus,181,Prose
0.00254,0.0078,0.00051,0.001,0.00043,0.0005,0.00111,0.00056,0,0.00002,0.00001,0.00002,0.00011,0.00246,0.00145,0.00352,0.00117,0.00086,0.00019,0.56404,32.05172,0.00063,0.00117,0.0173,0.00001,132.90988,"122,410","22,119",Cicero De Republica,921,Prose
0.0033,0.006,0.00032,0.0011,0.00028,0.00035,0.00084,0.00045,0,0.00006,0.00002,0.00013,0.00011,0.00209,0.00138,0.00244,0.00134,0.00054,0.00035,0.62769,31.47453,0.0006,0.00108,0.0159,0.00013,120.70052,"46,349","8,251",Cicero De Senectute,384,Prose
0.0046,0.00801,0.00019,0.00122,0.00156,0.00056,0.00052,0.00052,0.00004,0,0,0.00007,0.00004,0.00241,0.00111,0.00386,0.00056,0.00171,0.00041,0.63768,37.51445,0.0007,0.00096,0.01324,0.00004,177.40789,"26,966","4,625",Cicero Divinatio In C Verrem Part 1,152,Prose
0.00359,0.00784,0.00013,0.00141,0.00207,0.00052,0.00091,0.00034,0,0.00005,0.00002,0.00005,0.00011,0.00168,0.00146,0.004,0.00205,0.00124,0.00013,0.55971,34.14014,0.0005,0.00092,0.01086,0.00006,121.34392,"87,853","15,531",Cicero Divinatio In C Verrem Part 2,724,Prose
0.00327,0.00892,0.00026,0.00132,0.00241,0.00034,0.00077,0.00049,0,0.00007,0.00003,0.00006,0.00015,0.00227,0.00154,0.00481,0.00196,0.00128,0.00015,0.54286,33.76162,0.00041,0.00085,0.01182,0.00002,124.8496,"108,744","19,039",Cicero Divinatio In C Verrem Part 3,871,Prose
0.00354,0.00732,0.00008,0.00111,0.00145,0.00038,0.00072,0.0005,0,0.00002,0.00001,0.00004,0.0001,0.00181,0.00163,0.00476,0.00322,0.00124,0.0002,0.44518,35.36036,0.00051,0.00107,0.01181,0.00003,105.82976,"142,976","24,881",Cicero Divinatio In C Verrem Part 4,1351,Prose
0.0033,0.00864,0.00017,0.00125,0.00205,0.00036,0.00063,0.00034,0.00001,0.00002,0.00001,0.00008,0.00007,0.00215,0.00095,0.0048,0.00196,0.00121,0.00017,0.54255,34.19716,0.00047,0.00081,0.01206,0.00003,116.34401,"98,078","17,208",Cicero Divinatio In C Verrem Part 5,843,Prose
0.00374,0.00749,0.00017,0.00105,0.00173,0.00032,0.00084,0.00035,0,0.00002,0.00001,0.00005,0.0002,0.00184,0.00114,0.00417,0.00213,0.00117,0.00031,0.51244,37.20035,0.00036,0.00091,0.01314,0.00008,132.97947,"110,107","19,157",Cicero Divinatio In C Verrem Part 6,828,Prose
0.00853,0.01013,0.00006,0.00107,0.00034,0.00025,0.00075,0.00025,0,0.00003,0.00009,0.00006,0.00013,0.0021,0.00232,0.00433,0.00204,0.0016,0.00016,0.68944,29.42308,0.00085,0.00082,0.01273,0,143.01794,"31,893","5,818",Cicero Divinatio In Q Caecilium,223,Prose
0.01113,0.00703,0.00042,0.00087,0.0001,0.00027,0.00084,0.00072,0,0,0.00002,0,0.00007,0.00281,0.00149,0.00504,0.00012,0.00129,0.0001,0.77833,31.43732,0.00057,0.0008,0.01613,0,193.5,"40,248","7,375",Cicero Epistulae Ad Familiares Part 1 Ad Lentulum,208,Prose
0.00959,0.00549,0.00014,0.00082,0.00011,0.0002,0.0008,0.00034,0.00004,0.00002,0.00002,0.00012,0.00007,0.00226,0.0021,0.00424,0.00034,0.0014,0.00009,0.56492,33.06683,0.00053,0.00069,0.01504,0.00004,122.69935,"56,319","10,473",Cicero Epistulae Ad Familiares Part 10 Ad Plancum Et Ceteros,459,Prose
0.01291,0.00555,0.00008,0.00082,0.00042,0.00034,0.00048,0.00025,0.00008,0.00003,0.00008,0.00008,0.00017,0.00252,0.00207,0.00419,0.00068,0.00161,0.00003,0.55152,34.18792,0.00065,0.00119,0.01317,0,99.76836,"35,318","6,690",Cicero Epistulae Ad Familiares Part 11 At Brutum Et Ceteros,354,Prose
