"","primerid","component","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","z"
"51","p004","logFC","conditionphil",NA,0.016787148247408,-0.0110283498842979,0.00287939918155505,0.405782320793972
"52","p004","logFC","conditionspeech",NA,-0.000583150168452555,-0.031110063154012,-0.0158466066612323,-2.03484566866489
"53","p005","C","conditionphil",0.580763240095587,0.0351262063174868,-0.0195501879249747,0.00778800919625606,0.558347628713031
"54","p005","C","conditionspeech",0.00215779452650503,0.0710019710680389,0.0160815222232973,0.0435417466456681,3.10777705006495
"55","p005","C","(Intercept)",NA,0.197258888863232,0.152365134888085,0.174812011875658,15.2638270139298
"56","p005","D","conditionphil",2.41481074800219e-90,1.8825095273258,1.53635107146623,1.70943029939602,19.3577349574091
"57","p005","D","conditionspeech",2.70396592784362e-116,2.16623666028088,1.81305725616065,1.98964695822077,22.08303391743
"58","p005","D","(Intercept)",NA,-2.70367273648159,-2.97684228744163,-2.84025751196161,-40.7571225321401
"59","p005","H","conditionphil",5.25007853071333e-89,NA,NA,NA,NA
"60","p005","H","conditionspeech",7.04308768553962e-117,NA,NA,NA,NA
"61","p005","S","conditionphil",NA,NA,NA,NA,14.0827970513183
"62","p005","S","conditionspeech",NA,NA,NA,NA,17.8125932587041
"63","p005","S","(Intercept)",NA,NA,NA,NA,-18.0264821357191
"64","p005","logFC","conditionphil",NA,0.0404268360359139,0.0293903298033304,0.0349085829196222,12.3987725520948
"65","p005","logFC","conditionspeech",NA,0.062907399594026,0.0485065153719376,0.0557069574829818,15.1634620029068
"66","p006","C","conditionphil",0.0609927779192466,0.0391257017884662,-0.000567326107355891,0.0192791878405552,1.90393708022702
"67","p006","C","conditionspeech",0.651757880576151,0.0340551547045436,-0.0211502044530721,0.00645247512573578,0.458166346548913
"68","p006","C","(Intercept)",NA,0.136300456371207,0.10271445455767,0.119507455464438,13.94809122531
"69","p006","D","conditionphil",1.06602128536711e-115,2.12014975306318,1.7655721619388,1.94286095750099,21.4787262308138
"70","p006","D","conditionspeech",7.82865684888112e-05,0.729731409575947,0.251378996919793,0.49055520324787,4.01992549992915
"71","p006","D","(Intercept)",NA,-2.81516290210598,-3.10325255466574,-2.95920772838586,-40.2648308877099
"72","p006","H","conditionphil",5.29144638062783e-115,NA,NA,NA,NA
"73","p006","H","conditionspeech",0.000370202928237196,NA,NA,NA,NA
"74","p006","S","conditionphil",NA,NA,NA,NA,16.5340397894388
"75","p006","S","conditionspeech",NA,NA,NA,NA,3.16648911142082
"76","p006","S","(Intercept)",NA,NA,NA,NA,-18.6087450740039
"77","p006","logFC","conditionphil",NA,0.0351238638573748,0.0268541718456119,0.0309890178514933,14.6891465410809
"78","p006","logFC","conditionspeech",NA,0.00664334721023795,0.00124367811224124,0.00394351266123959,2.86282090562728
"79","p007","C","conditionphil",0.78901258334606,0.0223702594081036,-0.0169635546260616,0.00270335239102101,0.269410605303579
"80","p007","C","conditionspeech",0.139049919130323,0.00609781940487338,-0.0447450268697705,-0.0193236037324485,-1.48982876224265
"81","p007","C","(Intercept)",NA,0.192007311243229,0.175036824532064,0.183522067887646,42.3908458902895
"82","p007","D","conditionphil",1.15952953452754e-43,-0.798792864370261,-1.07892757783648,-0.938860221103369,-13.1374808720507
"83","p007","D","conditionspeech",6.59328581494158e-66,-1.1915630168387,-1.54119591661948,-1.36637946672909,-15.3192365231258
"84","p007","D","(Intercept)",NA,-0.625474844057239,-0.757842945779161,-0.6916588949182,-20.482676807957
"85","p007","H","conditionphil",1.95291911627909e-42,NA,NA,NA,NA
"86","p007","H","conditionspeech",4.7599910873852e-65,NA,NA,NA,NA
"87","p007","S","conditionphil",NA,NA,NA,NA,-9.09909974640186
"88","p007","S","conditionspeech",NA,NA,NA,NA,-11.8858040486914
"89","p007","S","(Intercept)",NA,NA,NA,NA,15.4914149214988
"90","p007","logFC","conditionphil",NA,-0.0249346284902075,-0.0365425654090977,-0.0307385969496526,-10.3802326593573
"91","p007","logFC","conditionspeech",NA,-0.037178762497631,-0.0481021617568749,-0.042640462127253,-15.301788036876
"92","p008","C","conditionphil",1.449635740325e-13,0.0555940647509357,0.032454151794963,0.0440241082729494,7.45773476595564
"93","p008","C","conditionspeech",0.00064092577461472,0.0380034864063475,0.0103720499824541,0.0241877681944008,3.43139269346383
"94","p008","C","(Intercept)",NA,0.167306133587703,0.152082663993947,0.159694398790825,41.1200966028359
"95","p008","D","conditionphil",1.08376536412468e-52,0.989237042053293,0.762963554432232,0.876100298242762,15.1774301925843
"96","p008","D","conditionspeech",5.27682605615335e-05,0.380927166155293,0.132717336159858,0.256822251157575,4.0559422058877
"97","p008","D","(Intercept)",NA,-0.623731442652863,-0.75606078762604,-0.689896115139451,-20.4364578245514
"98","p008","H","conditionphil",2.84812905753536e-63,NA,NA,NA,NA
"99","p008","H","conditionspeech",8.31878694232638e-07,NA,NA,NA,NA
"100","p008","S","conditionphil",NA,NA,NA,NA,16.0054786354597
"101","p008","S","conditionspeech",NA,NA,NA,NA,5.29434528034616
"102","p008","S","(Intercept)",NA,NA,NA,NA,14.625541239738
"103","p008","logFC","conditionphil",NA,0.0654614461701332,0.0504752657238373,0.0579683559469852,15.1627548201812
"104","p008","logFC","conditionspeech",NA,0.0263270093038534,0.0116549410124081,0.0189909751581308,5.07380780975968
"105","p009","C","conditionphil",1.07822179427323e-07,-0.0210864481929199,-0.0455751908016876,-0.0333308194973038,-5.33528461085884
"106","p009","C","conditionspeech",3.95573769616795e-19,-0.0537014098671952,-0.0835982062812006,-0.0686498080741979,-9.00104141646315
"107","p009","C","(Intercept)",NA,0.268991441289236,0.255910012768308,0.262450727028772,78.644923506608
"108","p009","D","conditionphil",1.59906362543781e-14,-0.340698046375505,-0.572973362783348,-0.456835704579426,-7.70965715750433
"109","p009","D","conditionspeech",4.62767880016654e-66,-0.954148430078189,-1.20186601738093,-1.07800722372956,-17.0585815612825
"110","p009","D","(Intercept)",NA,0.964433971672802,0.826879473069107,0.895656722370955,25.5237732851743
"111","p009","H","conditionphil",1.1605119024484e-19,NA,NA,NA,NA
"112","p009","H","conditionspeech",4.48137711697632e-82,NA,NA,NA,NA
"113","p009","S","conditionphil",NA,NA,NA,NA,-9.22416678459323
